Date,Open,High,Low,Close,Volume
12/29/2017,"35,834","36,497","35,767","36,033","4,676,943"
12/28/2017,"34,838","36,431","34,838","35,900","3,498,956"
12/27/2017,"34,108","35,038","33,909","34,838","3,336,943"
12/26/2017,"34,175","34,308","33,511","34,108","2,564,191"
12/25/2017,"33,843","34,308","33,710","34,108","2,247,987"
12/22/2017,"31,985","33,710","31,885","33,710","7,079,574"
12/21/2017,"32,516","32,649","32,184","32,184","2,331,562"
12/20/2017,"31,686","32,748","31,454","32,516","4,001,119"
12/19/2017,"31,786","32,151","31,421","31,686","2,951,343"
12/18/2017,"31,189","31,985","30,923","31,720","3,540,488"
12/15/2017,"30,061","30,857","29,994","30,525","3,879,266"
12/14/2017,"29,198","30,193","29,132","30,061","3,265,333"
12/13/2017,"29,862","29,928","28,999","29,198","1,774,320"
12/12/2017,"30,061","30,127","27,605","29,662","3,677,395"
12/11/2017,"30,525","31,122","29,596","29,596","2,181,922"
12/08/2017,"31,587","31,587","30,857","31,222","2,537,774"
12/07/2017,"31,852","31,852","30,990","31,587","4,124,674"
12/06/2017,"31,852","32,051","31,255","31,852","3,167,667"
12/05/2017,"32,516","33,179","31,919","31,919","2,977,067"
12/04/2017,"32,184","32,781","32,051","32,781","2,923,043"
12/01/2017,"32,250","32,450","31,852","32,051","3,524,107"
11/30/2017,"32,383","33,179","32,184","32,184","3,009,708"
11/29/2017,"31,852","32,516","31,852","32,516","2,170,228"
11/28/2017,"31,919","32,118","31,520","31,985","2,580,662"
11/27/2017,"31,520","31,985","31,056","31,786","3,380,042"
11/24/2017,"31,520","31,653","31,189","31,454","2,478,114"
11/23/2017,"32,317","32,450","31,089","31,786","4,290,198"
11/22/2017,"30,990","31,919","30,990","31,852","5,147,852"
11/21/2017,"30,061","31,653","29,994","30,990","5,952,883"
11/20/2017,"29,463","29,862","29,430","29,862","2,686,903"
11/17/2017,"29,729","29,961","29,430","29,463","3,637,445"
11/16/2017,"29,032","29,762","28,932","29,662","3,130,038"
11/15/2017,"29,065","29,331","28,932","28,932","1,965,146"
11/14/2017,"28,866","29,463","28,767","29,065","4,533,270"
11/13/2017,"28,866","28,999","28,534","28,800","3,171,118"
11/10/2017,"28,534","28,966","28,402","28,601","3,296,270"
11/09/2017,"29,065","29,198","28,601","28,601","3,087,753"
11/08/2017,"28,169","29,198","28,003","28,932","4,062,286"
11/07/2017,"28,203","28,435","27,871","28,169","2,581,325"
11/06/2017,"27,871","28,468","27,738","28,203","3,748,945"
11/03/2017,"27,473","27,804","27,074","27,804","2,109,512"
11/02/2017,"27,605","28,468","27,274","27,274","3,768,912"
11/01/2017,"27,605","27,771","27,439","27,605","3,238,599"
10/31/2017,"27,804","27,937","27,473","27,473","3,303,112"
10/30/2017,"28,070","28,501","27,539","27,804","6,060,540"
10/27/2017,"26,942","27,871","26,842","27,871","3,536,961"
10/26/2017,"27,041","27,373","26,676","26,942","2,896,415"
10/25/2017,"26,544","27,074","26,544","27,041","2,087,330"
10/24/2017,"26,444","26,743","26,212","26,544","2,112,843"
10/23/2017,"27,108","27,439","26,411","26,477","5,378,221"
10/20/2017,"26,909","27,406","26,842","27,074","3,123,016"
10/19/2017,"27,008","27,141","26,743","26,875","2,233,429"
10/18/2017,"27,141","27,473","26,909","27,008","4,601,234"
10/17/2017,"25,913","27,207","25,880","27,207","4,615,460"
10/16/2017,"26,179","26,212","25,847","25,913","2,324,465"
10/13/2017,"25,880","26,145","25,880","26,112","2,688,711"
10/12/2017,"26,112","26,179","25,913","25,913","2,663,515"
10/11/2017,"26,411","26,477","25,913","26,112","4,709,946"
10/10/2017,"26,145","26,477","26,013","26,311","4,194,431"
10/09/2017,"26,112","26,311","25,980","26,145","3,768,053"
10/06/2017,"25,681","25,980","25,648","25,913","3,500,614"
10/05/2017,"26,013","26,544","25,681","25,681","8,548,012"
10/04/2017,"24,885","25,880","24,885","25,747","7,289,131"
10/03/2017,"25,084","25,150","24,885","24,951","2,135,673"
10/02/2017,"25,084","25,283","24,851","24,984","1,816,048"
09/29/2017,"24,719","25,050","24,686","24,951","3,198,062"
09/28/2017,"24,686","24,851","24,619","24,719","2,672,903"
09/27/2017,"25,150","25,216","24,918","25,017","2,075,169"
09/26/2017,"24,885","25,017","24,752","24,984","1,313,825"
09/25/2017,"24,984","25,050","24,851","24,885","1,605,948"
09/22/2017,"25,117","25,150","24,951","24,984","1,586,553"
09/21/2017,"25,084","25,316","25,050","25,117","2,022,184"
09/20/2017,"24,851","25,349","24,851","25,084","3,666,273"
09/19/2017,"24,851","25,084","24,752","24,818","3,747,637"
09/18/2017,"25,216","25,349","24,951","24,951","4,395,776"
09/15/2017,"25,415","25,482","25,150","25,216","4,368,986"
09/14/2017,"25,349","25,548","25,150","25,415","3,665,053"
09/13/2017,"25,482","25,482","25,150","25,250","1,167,168"
09/12/2017,"25,017","25,283","24,984","25,250","2,163,898"
09/11/2017,"25,084","25,814","25,017","25,017","2,800,557"
09/08/2017,"25,216","25,283","24,984","25,017","1,135,100"
09/07/2017,"25,216","25,216","25,017","25,017","840,912"
09/06/2017,"25,216","25,316","25,050","25,216","994,124"
09/05/2017,"24,818","25,415","24,652","25,316","2,498,714"
09/01/2017,"24,818","24,885","24,619","24,851","988,171"
08/31/2017,"24,486","24,851","24,453","24,619","1,051,328"
08/30/2017,"24,553","24,752","24,486","24,553","1,051,253"
08/29/2017,"24,851","24,885","24,553","24,553","1,041,744"
08/28/2017,"24,652","24,851","24,619","24,851","1,001,568"
08/25/2017,"24,586","24,818","24,586","24,652","334,906"
08/24/2017,"24,652","24,851","24,486","24,586","581,037"
08/23/2017,"24,553","24,619","24,354","24,553","831,795"
08/22/2017,"24,885","24,885","24,486","24,486","1,269,957"
08/21/2017,"24,885","24,951","24,752","24,818","839,796"
08/18/2017,"24,752","25,084","24,652","24,885","1,785,683"
08/17/2017,"24,885","24,918","24,652","24,752","785,682"
08/16/2017,"24,752","24,918","24,719","24,885","585,272"
08/15/2017,"24,951","25,017","24,752","24,752","703,447"
08/14/2017,"24,851","25,084","24,851","24,984","699,499"
08/11/2017,"24,851","24,918","24,752","24,851","874,245"
08/10/2017,"24,918","25,150","24,851","25,017","1,707,969"
08/09/2017,"25,482","25,581","24,885","25,084","1,850,316"
08/08/2017,"25,250","25,847","25,250","25,482","2,476,637"
08/07/2017,"25,283","25,382","25,216","25,250","1,214,139"
08/04/2017,"25,415","25,482","25,150","25,250","1,138,686"
08/03/2017,"25,415","25,482","25,283","25,415","1,359,289"
08/02/2017,"25,283","25,482","25,084","25,283","1,421,481"
08/01/2017,"25,216","25,681","25,216","25,482","2,682,954"
07/31/2017,"24,885","25,150","24,885","25,050","1,654,502"
07/28/2017,"24,785","25,084","24,752","24,885","1,878,617"
07/27/2017,"24,818","24,918","24,785","24,785","997,303"
07/26/2017,"24,851","24,951","24,686","24,818","1,869,304"
07/25/2017,"24,686","24,785","24,486","24,752","728,417"
07/24/2017,"24,553","24,752","24,321","24,752","1,377,704"
07/21/2017,"24,951","25,017","24,553","24,553","1,595,716"
07/20/2017,"24,885","24,951","24,619","24,851","1,636,750"
07/19/2017,"25,084","25,183","24,885","24,951","2,762,220"
07/18/2017,"24,951","25,216","24,918","25,050","3,088,521"
07/17/2017,"25,382","25,449","25,017","25,017","2,046,522"
07/14/2017,"25,349","25,449","25,250","25,382","582,107"
07/13/2017,"25,548","25,548","25,216","25,349","704,562"
07/12/2017,"25,548","25,548","25,117","25,216","1,958,576"
07/11/2017,"25,216","25,415","24,951","25,415","2,654,382"
07/10/2017,"25,814","25,946","25,216","25,283","2,056,015"
07/07/2017,"26,212","26,311","25,681","25,681","1,755,589"
07/06/2017,"25,747","26,212","25,747","26,112","3,584,747"
07/05/2017,"25,880","25,880","25,515","25,780","1,204,299"
07/04/2017,"25,880","25,880","25,548","25,681","1,235,674"
07/03/2017,"25,548","25,980","25,482","25,814","2,828,572"
06/30/2017,"25,415","25,615","25,283","25,548","1,287,543"
06/29/2017,"25,415","25,449","25,150","25,349","1,360,902"
06/28/2017,"25,382","25,415","25,117","25,250","2,747,618"
06/27/2017,"25,747","25,780","25,382","25,382","2,153,244"
06/26/2017,"25,415","25,615","25,316","25,548","2,251,016"
06/23/2017,"25,250","25,349","25,050","25,283","3,400,823"
06/22/2017,"25,681","25,714","25,283","25,283","2,042,543"
06/21/2017,"26,079","26,112","25,216","25,648","3,421,227"
06/20/2017,"26,411","26,411","26,079","26,212","3,434,338"
06/19/2017,"26,444","26,544","26,145","26,344","2,396,286"
06/16/2017,"26,444","26,444","26,046","26,212","4,126,468"
06/15/2017,"26,013","26,278","25,913","26,212","4,515,820"
06/14/2017,"25,581","26,145","25,581","26,013","4,247,823"
06/13/2017,"25,250","25,648","25,216","25,581","1,486,281"
06/12/2017,"25,482","25,515","25,183","25,449","1,464,083"
06/09/2017,"25,283","25,615","25,150","25,482","2,972,998"
06/08/2017,"25,349","25,415","25,084","25,150","2,764,812"
06/07/2017,"25,681","25,780","25,349","25,415","3,862,328"
06/06/2017,"24,752","25,648","24,686","25,648","7,459,719"
06/05/2017,"24,155","24,752","24,121","24,686","3,027,475"
06/02/2017,"24,088","24,221","23,956","24,088","1,640,367"
06/01/2017,"24,155","24,321","24,022","24,088","1,767,448"
05/31/2017,"24,354","24,354","23,756","24,022","2,228,682"
05/30/2017,"24,354","24,354","24,022","24,088","2,061,832"
05/29/2017,"24,619","24,818","24,155","24,155","2,557,561"
05/26/2017,"24,586","24,719","24,354","24,354","2,059,813"
05/25/2017,"25,084","25,117","24,619","24,619","2,550,598"
05/24/2017,"24,652","25,250","24,586","25,050","2,540,939"
05/23/2017,"24,885","25,017","24,686","24,686","2,113,521"
05/22/2017,"24,619","25,349","24,387","24,885","5,172,340"
05/19/2017,"24,155","24,387","24,088","24,387","1,642,296"
05/18/2017,"23,956","24,254","23,956","24,121","1,689,117"
05/17/2017,"23,889","24,121","23,889","24,022","1,884,690"
05/16/2017,"23,956","24,155","23,889","23,922","1,515,139"
05/15/2017,"24,155","24,221","23,989","24,088","1,805,077"
05/12/2017,"24,387","24,420","24,121","24,188","1,504,138"
05/11/2017,"24,420","24,553","24,387","24,420","1,832,700"
05/10/2017,"24,188","24,553","24,188","24,387","2,287,258"
05/09/2017,"23,723","24,287","23,657","24,188","2,462,200"
05/08/2017,"23,956","24,088","23,690","23,723","1,752,710"
05/05/2017,"24,088","24,088","23,823","23,956","1,181,303"
05/04/2017,"23,557","24,287","23,491","24,088","3,542,477"
05/03/2017,"23,292","23,889","23,259","23,557","1,808,166"
04/28/2017,"23,093","23,392","23,060","23,292","2,294,973"
04/27/2017,"23,358","23,425","23,027","23,126","3,451,185"
04/26/2017,"23,292","23,358","23,226","23,259","1,370,215"
04/25/2017,"23,292","23,425","23,192","23,292","988,759"
04/24/2017,"23,557","23,723","23,292","23,292","678,447"
04/21/2017,"23,491","23,823","23,491","23,557","779,141"
04/20/2017,"23,823","23,823","23,491","23,491","1,627,543"
04/19/2017,"23,756","23,956","23,690","23,823","861,512"
04/18/2017,"23,557","23,790","23,491","23,790","805,227"
04/17/2017,"24,121","24,188","23,557","23,557","1,780,680"
04/14/2017,"24,354","24,387","23,889","24,121","1,550,537"
04/13/2017,"24,321","24,652","24,321","24,387","1,162,210"
04/12/2017,"24,553","24,553","24,321","24,420","1,394,748"
04/11/2017,"24,354","24,553","24,354","24,486","1,697,269"
04/10/2017,"24,486","24,619","24,354","24,354","2,220,063"
04/07/2017,"24,287","24,486","24,287","24,420","1,350,775"
04/05/2017,"24,420","24,752","24,420","24,453","1,839,601"
04/04/2017,"24,221","24,619","24,188","24,420","2,430,434"
04/03/2017,"24,486","24,586","24,088","24,155","3,362,139"
03/31/2017,"24,686","24,818","24,486","24,486","2,861,393"
03/30/2017,"24,752","24,951","24,686","24,686","1,658,797"
03/29/2017,"24,719","24,885","24,652","24,752","2,079,660"
03/28/2017,"25,084","25,250","24,785","24,818","2,938,896"
03/27/2017,"25,216","25,482","25,050","25,084","2,527,316"
03/24/2017,"25,548","25,581","25,050","25,216","2,127,219"
03/23/2017,"25,017","25,548","24,951","25,382","2,472,116"
03/22/2017,"25,216","25,449","24,951","25,017","2,997,109"
03/21/2017,"25,150","25,216","24,951","25,216","1,470,051"
03/20/2017,"24,818","25,150","24,818","24,918","1,632,124"
03/17/2017,"24,619","24,918","24,520","24,553","4,673,191"
03/16/2017,"24,553","24,719","24,520","24,619","866,259"
03/15/2017,"24,719","24,719","24,520","24,520","939,240"
03/14/2017,"24,586","24,818","24,586","24,586","757,351"
03/13/2017,"24,619","24,818","24,586","24,586","1,334,741"
03/10/2017,"25,150","25,349","24,785","24,885","943,264"
03/09/2017,"25,183","25,482","25,084","25,084","1,509,925"
03/08/2017,"24,752","25,349","24,752","25,017","1,344,325"
03/07/2017,"24,885","24,885","24,619","24,885","846,894"
03/06/2017,"25,216","25,216","24,752","24,752","768,834"
03/03/2017,"24,686","24,951","24,486","24,885","778,298"
03/02/2017,"24,951","25,017","24,486","24,486","2,052,655"
03/01/2017,"24,818","24,951","24,686","24,686","1,216,867"
02/28/2017,"25,349","25,349","24,818","24,818","1,060,566"
02/27/2017,"24,686","25,449","24,686","25,349","1,503,128"
02/24/2017,"25,084","25,117","24,752","24,851","1,517,188"
02/23/2017,"25,150","25,349","24,918","24,951","2,341,463"
02/22/2017,"25,548","25,548","25,084","25,150","1,208,714"
02/21/2017,"25,216","25,515","25,183","25,482","1,622,042"
02/20/2017,"25,548","25,548","25,150","25,183","1,992,738"
02/17/2017,"25,681","25,714","25,415","25,415","1,839,541"
02/16/2017,"26,013","26,245","25,548","25,615","2,049,068"
02/15/2017,"25,780","26,079","25,615","25,880","2,139,606"
02/14/2017,"25,780","25,946","25,548","25,681","1,997,485"
02/13/2017,"26,079","26,079","25,681","25,780","2,245,862"
02/10/2017,"26,311","26,311","26,079","26,079","2,944,637"
02/09/2017,"26,444","26,477","26,212","26,344","1,813,652"
02/08/2017,"26,145","26,411","25,946","26,378","2,701,580"
02/07/2017,"25,747","26,046","25,714","26,046","2,301,408"
02/06/2017,"25,681","25,814","25,482","25,681","1,942,316"
02/03/2017,"26,212","26,212","25,681","25,681","2,406,669"
02/02/2017,"26,278","26,278","25,814","26,179","2,062,390"
01/25/2017,"25,814","26,079","25,482","26,079","2,038,279"
01/24/2017,"25,250","25,615","25,216","25,615","1,354,799"
01/23/2017,"25,449","25,449","25,183","25,283","1,081,829"
01/20/2017,"25,349","25,548","25,216","25,216","1,369,718"
01/19/2017,"25,482","25,548","25,216","25,216","785,184"
01/18/2017,"25,714","25,980","25,415","25,415","1,723,144"
01/17/2017,"24,885","25,980","24,885","25,847","3,526,277"
01/16/2017,"24,885","25,084","24,586","24,785","967,345"
01/13/2017,"24,951","25,415","24,851","24,851","1,755,091"
01/12/2017,"25,482","25,548","25,084","25,150","2,807,565"
01/11/2017,"25,482","25,714","25,382","25,515","2,257,752"
01/10/2017,"25,482","25,648","25,449","25,482","2,018,628"
01/09/2017,"25,349","25,847","25,283","25,681","3,585,817"
01/06/2017,"24,686","25,482","24,619","25,150","3,761,227"
01/05/2017,"24,486","24,752","24,453","24,652","1,288,824"
01/04/2017,"24,885","24,951","24,420","24,553","2,018,929"
01/03/2017,"23,624","24,885","23,624","24,719","3,042,167"
